第一章 雪婷镇
逄义 逄义是封山派中和柳淳风同辈的弟子，但是生性好赌的他并不受师父及同门师兄弟的喜爱，因此辈分虽高，却未曾担任门中任何重要职务。逄义经常外出，美其名曰：旅行，实则避债，碍於门规又不敢做那打家劫舍的勾当，因此经常四处寻找赚钱发财的机会。
店小二 这位店小二正笑咪咪地忙著，还不时拿起挂在脖子上的抹布擦脸。
星河大师 帅
崔元基
苦力 一个苦力打扮的汉子在这里等人来雇用。
黎老八 这是位生性刚直，嫉恶如仇的丐帮八袋弟子。
农夫 你看到一位面色黝黑的农夫。
老农夫 你看到一位面色黝黑的农夫。
疯狗 一只浑身脏兮兮的野狗，一双眼睛正恶狠狠地瞪著你。
魏无极 魏无极是个博学多闻的教书先生，他年轻时曾经中过举人，但是因为生性喜爱自由而不愿做官，魏无极以教书为业，如果你付他一笔学费，就可以成为他的弟子学习读书识字。
野狗 一只浑身脏兮兮的野狗。
蒙面剑客 蒙着脸，身后背着一把剑，看上去武艺颇为不俗。
庙祝 这个老人看起来七十多岁了，看著他佝偻的身影，你忽然觉得心情沈重了下来。
刘安禄 刘安禄是淳风武馆的门房，除了馆主柳淳风没有人知道他的出身来历，只知到他的武艺不弱，一手快刀在这一带罕有敌手。
武馆弟子 你看到一位身材高大的汉子，正在辛苦地操练著。
李火狮 李火狮是个孔武有力的大块头，他正在训练他的弟子们习练「柳家拳法」。
柳淳风 柳淳风是个相当高大的中年儒生，若不是从他腰间挂著的「玄苏剑」你大概猜不到眼前这个温文儒雅的中年人竟是家大武馆的馆主。
柳绘心 柳绘心是淳风武馆馆主柳淳风的独生女。
安惜迩 安惜迩是个看起来相当斯文的年轻人，不过有时候会有些心不在焉的样子，雪亭镇的居民对安惜迩都觉得有点神秘莫测的感觉，为什麽他年纪轻轻就身为一家大钱庄的老板，还有他一身稀奇古怪的武功，所幸安惜迩似乎天性恬淡，甚至有些隐者的风骨，只要旁人不去惹他，他也绝不会去招惹旁人。
醉汉 一个喝得醉醺醺的年轻人。。。。。
收破烂的 这个人不但自己收破烂，身上也穿得破烂不堪。
王铁匠 王铁匠正用铁钳夹住一块红热的铁块放进炉中。打孔
杨掌柜 杨掌柜是这附近相当有名的大善人，常常施舍草药给付不起药钱的穷人。此外他的医术也不错，年轻时曾经跟著山烟寺的玄智和尚学医，一般的伤寒小病直接问他开药吃比医生还灵。
花不为 此人前几年搬到雪亭镇来，身世迷糊。
杜宽 杜宽担任雪亭驿的驿长已经有十几年了，虽然期间有几次升迁的机会，但是他都因为舍不得离开这个小山村而放弃了，雪亭镇的居民对杜宽的风评相当不错，常常会来到驿站跟他聊天。
杜宽宽? 不要杀我~~~~~~~~~~

第二章 洛阳
农夫 一个戴着斗笠，正在辛勤劳作的农夫。
守城士兵 一个守卫洛阳城的士兵
客商 长途跋涉至此的客商。
蓑衣男子 身穿蓑衣坐在船头的男子，头上的斗笠压得很低，你看不见他的脸。
乞丐 一个穿着破破烂烂的乞丐
金刀门弟子 这人虽然年纪不大，却十分傲慢。看来金刀门是上梁不正下梁歪。
王霸天 王霸天已有七十来岁，满面红光，颚下一丛长长的白须飘在胸前，精神矍铄，左手呛啷啷的玩着两枚鹅蛋大小的金胆。
庙祝 洛神庙的庙祝
老乞丐 一个穿着破破烂烂的乞丐
地痞 洛阳城里的地痞，人见人恶。
小贩 起早贪黑养家糊口的小贩。
郑屠夫 一个唾沫四溅，满身油星的屠夫。看上去粗陋鄙俗，有些碍眼。
何九叔 丐帮5袋弟子，衣着干净，看起来是净衣派的。
无赖 洛阳城无赖，专靠耍赖撒泼骗钱。
甄大海 洛阳地痞无赖头领，阴险狡黠，手段极其卑鄙。
红娘 一个肥胖的中年妇女，以做媒为生。
柳小花 洛阳武馆馆主的女儿，身材窈窕，面若桃花，十分漂亮。性格却是骄纵任性，大小姐脾气。
富家公子 此人一副风流倜傥的样子，一看就是个不知天高地厚的公子哥。
洪帮主 他就是丐帮第十七任帮主，号称洪老爷子。
游客 来白冢游玩的人，背上的包袱里鼓鼓囊囊，不知道装了什么？
绿袍老者 一身绿袍的老人，除了满头白发，强健的身姿和矍铄的眼神都不像一位老者。
护卫 大户人家的护卫，一身劲装。
山贼 隐藏在密林中打家劫舍的贼匪。
白面书生 书生打扮的中年男子，手中的折扇隐露寒光。
守墓人 负责看守白冢的老人，看起来也是有些功夫的。
凌云 败剑山庄少庄主，跟着父亲云游四海。
凌中天 好游山玩水的败剑山庄庄主。
盗墓贼 看样子很斯文，不像会欺负人哦～
